,created_at,day_label,relevance_label
592084768403030017,Sat Apr 25 21:56:23 +0000 2015,0,relevant
591909766785605632,Sat Apr 25 10:21:00 +0000 2015,0,relevant
593240793890103297,Wed Apr 29 02:30:01 +0000 2015,4,relevant
592200532128759809,Sun Apr 26 05:36:24 +0000 2015,1,relevant
591902850537652224,Sat Apr 25 09:53:31 +0000 2015,0,relevant
592612161479839746,Mon Apr 27 08:52:04 +0000 2015,2,relevant
591903384019447809,Sat Apr 25 09:55:38 +0000 2015,0,relevant
591903274950856706,Sat Apr 25 09:55:12 +0000 2015,0,relevant
592690444015927296,Mon Apr 27 14:03:08 +0000 2015,2,relevant
593028453709975554,Tue Apr 28 12:26:15 +0000 2015,3,relevant
592927984035717120,Tue Apr 28 05:47:02 +0000 2015,3,relevant
591903208320045056,Sat Apr 25 09:54:56 +0000 2015,0,relevant
591903245716443137,Sat Apr 25 09:55:05 +0000 2015,0,relevant
592939706788216832,Tue Apr 28 06:33:37 +0000 2015,3,relevant
592663984999903232,Mon Apr 27 12:17:59 +0000 2015,2,relevant
591903011359719424,Sat Apr 25 09:54:09 +0000 2015,0,relevant
592594169756983296,Mon Apr 27 07:40:34 +0000 2015,2,relevant
591903021107314688,Sat Apr 25 09:54:11 +0000 2015,0,relevant
592639351676399617,Mon Apr 27 10:40:06 +0000 2015,2,relevant
591903296643735552,Sat Apr 25 09:55:17 +0000 2015,0,relevant
592200592409366528,Sun Apr 26 05:36:38 +0000 2015,1,relevant
591903044381474816,Sat Apr 25 09:54:17 +0000 2015,0,relevant
592635326042087424,Mon Apr 27 10:24:07 +0000 2015,2,relevant
592984783099072513,Tue Apr 28 09:32:44 +0000 2015,3,relevant
592099765271199744,Sat Apr 25 22:55:59 +0000 2015,0,relevant
592769741565067265,Mon Apr 27 19:18:14 +0000 2015,2,relevant
591913829363294209,Sat Apr 25 10:37:08 +0000 2015,0,relevant
591920063558463488,Sat Apr 25 11:01:55 +0000 2015,0,relevant
592068612254527488,Sat Apr 25 20:52:11 +0000 2015,0,relevant
591963288692338688,Sat Apr 25 13:53:40 +0000 2015,0,relevant
592594908306743296,Mon Apr 27 07:43:30 +0000 2015,2,relevant
591902987871604737,Sat Apr 25 09:54:03 +0000 2015,0,relevant
591902989687889920,Sat Apr 25 09:54:04 +0000 2015,0,relevant
591903242277265408,Sat Apr 25 09:55:04 +0000 2015,0,relevant
591903102896209920,Sat Apr 25 09:54:31 +0000 2015,0,relevant
591902965893435392,Sat Apr 25 09:53:58 +0000 2015,0,relevant
591902738583199745,Sat Apr 25 09:53:04 +0000 2015,0,relevant
592682166573740032,Mon Apr 27 13:30:14 +0000 2015,2,relevant
593164682506022913,Tue Apr 28 21:27:35 +0000 2015,3,relevant
591902832615235584,Sat Apr 25 09:53:26 +0000 2015,0,relevant
592846970865229826,Tue Apr 28 00:25:07 +0000 2015,3,relevant
591902767331028992,Sat Apr 25 09:53:11 +0000 2015,0,relevant
592594842179403777,Mon Apr 27 07:43:14 +0000 2015,2,relevant
591903078674141184,Sat Apr 25 09:54:25 +0000 2015,0,relevant
591915030691450881,Sat Apr 25 10:41:55 +0000 2015,0,relevant
592088617922662400,Sat Apr 25 22:11:41 +0000 2015,0,relevant
592649950133153792,Mon Apr 27 11:22:13 +0000 2015,2,relevant
591903297885196288,Sat Apr 25 09:55:17 +0000 2015,0,relevant
591919753154928642,Sat Apr 25 11:00:41 +0000 2015,0,relevant
591902881973833729,Sat Apr 25 09:53:38 +0000 2015,0,relevant
591903342281904128,Sat Apr 25 09:55:28 +0000 2015,0,relevant
591902821479493632,Sat Apr 25 09:53:24 +0000 2015,0,relevant
593015165198540801,Tue Apr 28 11:33:27 +0000 2015,3,relevant
592651693034229760,Mon Apr 27 11:29:09 +0000 2015,2,relevant
592161318469271552,Sun Apr 26 03:00:34 +0000 2015,1,relevant
592591941272907776,Mon Apr 27 07:31:43 +0000 2015,2,relevant
592733177493516288,Mon Apr 27 16:52:56 +0000 2015,2,relevant
591912578974031872,Sat Apr 25 10:32:10 +0000 2015,0,relevant
591902969999785984,Sat Apr 25 09:53:59 +0000 2015,0,relevant
591903094365097984,Sat Apr 25 09:54:29 +0000 2015,0,relevant
592070329121558529,Sat Apr 25 20:59:01 +0000 2015,0,relevant
591902777292496896,Sat Apr 25 09:53:13 +0000 2015,0,relevant
591920443482705920,Sat Apr 25 11:03:25 +0000 2015,0,relevant
591902722539958272,Sat Apr 25 09:53:00 +0000 2015,0,relevant
591903056335278080,Sat Apr 25 09:54:20 +0000 2015,0,relevant
591902734300815360,Sat Apr 25 09:53:03 +0000 2015,0,relevant
591903229434171392,Sat Apr 25 09:55:01 +0000 2015,0,relevant
591903351094190082,Sat Apr 25 09:55:30 +0000 2015,0,relevant
591903273260609536,Sat Apr 25 09:55:12 +0000 2015,0,relevant
592831364182990849,Mon Apr 27 23:23:06 +0000 2015,2,relevant
591903124052291584,Sat Apr 25 09:54:36 +0000 2015,0,relevant
591902767712612352,Sat Apr 25 09:53:11 +0000 2015,0,relevant
592703712793120769,Mon Apr 27 14:55:51 +0000 2015,2,relevant
591911698354872320,Sat Apr 25 10:28:40 +0000 2015,0,relevant
591902696371724288,Sat Apr 25 09:52:54 +0000 2015,0,relevant
591902723416596480,Sat Apr 25 09:53:00 +0000 2015,0,relevant
591903406169554944,Sat Apr 25 09:55:43 +0000 2015,0,relevant
592629734451892224,Mon Apr 27 10:01:53 +0000 2015,2,relevant
591910752610492418,Sat Apr 25 10:24:55 +0000 2015,0,relevant
591903402096865280,Sat Apr 25 09:55:42 +0000 2015,0,relevant
591903255619178496,Sat Apr 25 09:55:07 +0000 2015,0,relevant
592070665227767809,Sat Apr 25 21:00:21 +0000 2015,0,relevant
591921822968385536,Sat Apr 25 11:08:54 +0000 2015,0,relevant
591903090439278592,Sat Apr 25 09:54:28 +0000 2015,0,relevant
591902716160450562,Sat Apr 25 09:52:59 +0000 2015,0,relevant
